landslide_id,latitude,longitude,state,district,landslide_type,trigger,date,volume_m3x1000,casualties
LS2255,26.194062206486954,93.28147448713733,Arunachal Pradesh,Tawang,Debris Flow,Rainfall,2023-12-16,125,11
LS2256,23.101187754271987,90.97264261138605,Assam,Kamrup,Rock Fall,Rainfall,2019-07-18,12,9
LS2257,26.417356786207797,95.92582711507079,Arunachal Pradesh,Lower Subansiri,Rock Fall,Road Cutting,2020-03-27,397,5
LS2258,26.37538750734162,96.17143262862061,Manipur,Ukhrul,Rock Slide,Rainfall,2024-06-09,128,9
LS2259,28.027314871636023,88.0327058642913,Sikkim,West Sikkim,Rock Fall,Road Cutting,2020-02-03,489,12
LS2260,22.5556030108806,93.11165681798046,Nagaland,Kohima,Rock Slide,Anthropogenic,2021-03-11,242,11
LS2261,27.60635843146798,92.21218692105661,Tripura,West Tripura,Debris Flow,Rainfall,2021-09-16,93,12
LS2262,26.81158904073532,88.12675776056618,Tripura,Dhalai,Mudslide,Anthropogenic,2024-05-14,355,13
LS2263,26.165726997978084,93.7485321467622,Assam,Dibrugarh,Rock Fall,Road Cutting,2023-10-12,177,2
LS2264,23.60868720628404,89.26550688070868,Mizoram,Aizawl,Mudslide,Heavy Rainfall,2018-01-28,143,7
LS2265,27.022539910688742,96.58631340389421,Assam,Karbi Anglong,Mudslide,Earthquake,2024-06-04,15,5
LS2266,23.917815464531973,94.01007503318804,Manipur,Chandel,Rock Fall,Anthropogenic,2019-10-17,217,11
LS2267,23.204494475068657,96.24517347265572,Nagaland,Mokokchung,Mudslide,Anthropogenic,2020-06-23,122,3
LS2268,25.229872036624023,96.89954165705778,Tripura,West Tripura,Mudslide,Road Cutting,2024-02-28,477,8
LS2269,26.582051519516387,93.362330189781,Assam,Dibrugarh,Rock Slide,Earthquake,2023-01-04,280,12
